cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C106,7.17287,9.753919999999999,0.03365719999999999,69.9636,39.211999999999996,0.15,0.149621,0.45,0.599432,1.0,247.0,120.0,64.5,10.7703,247.0,120.0,64.5,10.7703,False,6.1869013977834975
C107,9.98944,10.2178,0.07649349999999999,102.07,39.0393,0.2,0.08,0.8,0.892328,1.0,233.0,134.0,69.5,10.8167,233.0,134.0,69.5,10.8167,False,5.158360496163245
C108,8.22507,10.3527,0.03365719999999999,85.152,59.1599,0.2,0.13228800000000002,0.75,1.17343,1.0,100.0,116.0,67.0,11.4018,100.0,116.0,67.0,11.4018,False,6.572084993674377
C110,9.56557,12.2948,0.0749637,117.60700000000001,37.8803,0.2,0.105705,1.1,0.5464640000000001,1.0,194.0,151.0,61.5,12.2066,194.0,151.0,61.5,12.2066,False,4.777628554793022
C111,8.61663,11.3968,0.06578439999999999,98.2024,43.3195,0.25,0.22020100000000004,0.95,0.910852,1.0,242.0,148.0,67.0,11.4018,242.0,148.0,67.0,11.4018,False,4.418154604215679
C113,6.89205,9.58574,0.019888299999999998,66.0654,41.3704,0.15,0.0518875,0.45,0.406675,1.0,117.0,133.0,60.0,12.2066,117.0,133.0,60.0,12.2066,False,7.230930451992727
C115,10.4768,12.5732,0.042836400000000004,131.726,45.333,0.25,0.08813539999999999,1.4,1.00098,1.0,206.0,138.0,69.5,11.6619,206.0,138.0,69.5,11.6619,False,4.536630983037196
C117,6.61152,11.9047,0.0413065,78.7084,56.0782,0.15,0.113855,0.7,0.883491,1.0,206.0,132.0,70.5,10.8167,206.0,132.0,70.5,10.8167,False,5.492741279157597
C118,7.597110000000001,10.0789,0.0688442,76.5703,26.6794,0.15,0.058214199999999994,0.65,0.7882819999999999,1.0,265.0,149.0,68.0,10.6301,265.0,149.0,68.0,10.6301,False,5.054598319316607
C120,8.94737,11.8575,0.059664999999999996,106.094,33.7465,0.15,0.34520500000000004,0.65,0.656184,1.0,208.0,148.0,67.0,10.2956,208.0,148.0,67.0,10.2956,False,5.292301770808797
C123,6.895810000000001,8.83031,0.024477900000000004,60.8922,22.7612,0.15,0.081968,0.95,0.826041,1.0,337.0,139.0,68.0,10.7703,337.0,139.0,68.0,10.7703,False,5.4054604274075935
C124,7.0185699999999995,8.617360000000001,0.042836400000000004,60.4816,20.7894,0.125,0.0761812,0.625,0.658258,1.0,285.0,140.0,65.0,12.0416,285.0,140.0,65.0,12.0416,False,5.566473523664847
C126,5.27409,8.93488,0.021418200000000002,47.1234,35.2944,0.075,0.05590169999999999,0.175,0.372611,1.0,214.0,98.0,64.0,11.3137,214.0,98.0,64.0,11.3137,False,6.08074706311225
C127,7.6557,7.9676100000000005,0.0152987,60.9976,26.7186,0.225,0.075,0.95,0.818383,1.0,4.0,143.0,67.0,14.1421,4.0,143.0,67.0,14.1421,False,4.416678736321306
C128,7.20167,8.7864,0.0152987,63.2768,25.2674,0.2,0.0707107,0.7,1.1976,1.0,290.0,160.0,60.0,12.1655,290.0,160.0,60.0,12.1655,False,6.191120534164174
C129,14.7537,35.275999999999996,0.177465,520.451,190.99,0.2,0.7523380000000001,1.0,1.62574,1.0,125.0,163.0,57.5,13.0384,125.0,163.0,57.5,13.0384,False,4.392590525277546
C130,4.23957,8.65623,0.039776599999999995,36.6987,28.8171,0.1,0.114354,0.1,0.8231620000000001,1.0,280.0,129.0,57.5,10.6301,280.0,129.0,57.5,10.6301,False,5.804348418828449
C131,9.03299,13.5599,0.024477900000000004,122.486,29.8725,0.275,0.0951972,1.575,0.88176,1.0,115.0,143.0,66.0,11.6619,115.0,143.0,66.0,11.6619,False,4.615114076522171
C132,14.0483,41.1508,0.160636,578.099,199.658,0.2,0.797974,1.4,1.6306399999999999,1.0,124.0,167.0,62.5,12.083,124.0,167.0,62.5,12.083,True,
C133,4.41359,8.39739,0.035187,37.0626,19.8353,0.05,0.0294884,0.05,0.594906,1.0,318.0,118.0,57.5,11.1803,318.0,118.0,57.5,11.1803,False,6.385042995100535
C134,6.18469,17.1449,0.059664999999999996,106.036,29.9016,0.3,0.10159,1.45,1.04471,1.0,143.0,115.0,60.5,9.84886,143.0,115.0,60.5,9.84886,False,3.3237423398250368
C135,7.16415,11.0188,0.00611948,78.94,23.4441,0.125,0.0433013,1.225,0.8459459999999999,1.0,219.0,136.0,62.5,13.9284,219.0,136.0,62.5,13.9284,False,6.18586563439374
C136,6.067419999999999,8.30569,0.0183584,50.3941,13.6071,0.1,0.0478714,0.575,0.503115,1.0,268.0,133.0,64.0,9.84886,268.0,133.0,64.0,9.84886,False,5.219144639369538
C137,7.24678,54.9937,0.00458961,398.527,49.771,0.3,0.0288675,2.45,0.39264099999999996,1.0,97.0,22.0,64.0,10.2956,97.0,22.0,64.0,10.2956,False,5.118032973503026
C139,4.8301,7.9137,0.039776599999999995,38.2239,34.3522,0.075,0.0541543,0.1,0.20239000000000001,1.0,33.0,136.0,64.0,11.1803,33.0,136.0,64.0,11.1803,False,5.320757090700399
C140,6.10436,9.00037,0.0305974,54.9415,37.1932,0.075,0.11236099999999999,0.15,0.557898,1.0,297.0,142.0,62.5,10.4403,297.0,142.0,62.5,10.4403,False,6.345257676806634
C141,4.906280000000001,8.76297,0.019888299999999998,42.9936,27.840999999999998,0.1,0.05717719999999999,0.1,0.373136,1.0,175.0,206.0,64.0,14.3178,175.0,206.0,64.0,14.3178,False,5.873699254880517
C146,4.7529900000000005,8.238999999999999,0.036716900000000004,39.1598,20.769000000000002,0.05,0.0433013,0.05,0.498957,1.0,32.0,48.0,58.5,12.8062,32.0,48.0,58.5,12.8062,False,5.378525015772398
C164,9.33312,14.8494,0.00152987,138.591,0.0,0.2,0.0,0.45,0.0,1.0,202.0,170.0,60.5,14.3178,202.0,170.0,60.5,14.3178,False,4.72248919039001
C165,4.8076,16.1551,0.00152987,77.6674,0.0,0.1,0.0,1.15,0.0,1.0,123.0,139.0,66.5,12.083,123.0,139.0,66.5,12.083,False,4.873392214321531
